"d8_1","d8_2","d8_3","d9","d10","d11","d14","d181","estred13","d16","d260","d20","d21_1","d21_4_1","d21_11","d21_12","d21_13","d21_14_1","d21_15_1","d21_15_4","d21_18","d21_18_1","d21_19","d21_19_1","d23","d24","d25","h171_2","ht2","ht9","YHOG","YSVL","e27","e45_1","e45_2","e45_3","e46","e51_4","e210_1","e51_5","e210_2","e212","e215","e218"
2,0,50000,6,4,1,2,1,5,1,5,3,1,0,2,2,1,0,2,4,1,1,2,0,6,0,6,0,4,3,4524,281976.666666667,22,2,2,1,1,3,2,3,2,3,3,2
4,0,1500,3,2,1,1,2,1,2,5,3,2,1,2,2,2,0,0,0,2,0,2,0,3,0,3,0,1,0,0,4380,24,1,2,2,2,1,1,0,0,3,0,0
2,0,10000,3,2,1,1,2,10,1,5,3,1,2,2,2,2,1,0,0,1,1,1,1,3,0,3,0,2,1,1955,62865,60,2,1,2,2,2,1,0,0,3,0,0
2,0,11000,2,1,1,1,2,6,2,3,3,1,1,2,2,1,0,0,0,2,0,2,0,1,0,1,0,1,1,1951,18951,82,2,2,2,2,0,0,0,0,3,0,0
8,0,25000,6,3,1,2,1,12,1,5,3,1,0,2,2,1,0,2,1,1,1,2,0,3,0,3,0,2,2,24951,75951,80,2,1,2,1,3,1,9,1,3,0,0
5,0,14800,3,2,1,1,2,10,2,1,3,1,0,2,2,1,2,0,0,1,1,1,1,2,1,3,0,1,0,2027,86881,0,2,1,2,2,0,0,0,0,0,0,0
1,1300,8000,3,2,1,1,2,8,1,5,3,1,0,2,2,1,0,2,1,2,0,2,0,2,0,2,0,0,0,0,18000,46,1,2,2,2,3,1,0,0,3,0,0
1,25000,35000,6,3,1,1,1,4,1,5,3,1,0,2,2,1,2,2,2,1,2,2,0,2,2,4,0,1,0,4378,211300,1,2,1,2,1,0,0,0,0,0,0,0
2,0,28000,5,3,1,2,2,4,1,1,2,1,0,1,1,1,5,2,2,1,1,2,0,2,2,4,0,1,0,4378,210856,43,2,2,1,1,3,2,1,2,3,3,2
5,0,8500,3,2,1,1,2,2,2,1,3,1,1,2,2,1,1,1,2,1,1,2,0,2,2,4,0,1,0,12028,49517,6,2,1,2,1,0,0,0,0,0,0,0
1,2500,5000,3,2,1,1,2,7,2,1,3,2,1,2,2,2,0,0,0,2,0,2,0,2,0,2,0,1,2,3902,29902,71,1,2,2,2,0,0,0,0,3,0,0
4,0,1000,1,1,1,0,2,3,0,6,6,2,1,2,2,2,0,0,0,2,0,2,0,1,0,1,0,0,0,0,5500,61,1,2,2,2,0,0,0,0,0,0,0
2,0,2000,3,2,1,1,2,7,2,5,3,1,0,2,2,2,0,0,0,2,0,2,0,1,0,1,0,0,0,1963,33515,69,1,2,2,2,0,0,0,0,3,0,0
8,0,8000,4,2,1,1,2,10,1,5,3,1,0,2,2,2,0,1,1,2,0,2,0,5,0,5,1,3,3,12378,77278,31,1,2,2,2,0,0,0,0,0,0,0
8,0,11000,5,3,1,1,2,1,1,6,3,2,3,2,2,2,0,1,0,2,0,2,0,5,1,6,0,3,2,10912.5,57179.5,74,2,2,2,2,0,0,0,0,2,0,0
2,0,12000,5,3,1,1,2,7,2,1,3,1,0,2,2,1,1,2,1,1,1,2,0,4,0,4,0,1,2,1963,41863,19,1,2,2,2,3,1,9,1,3,0,0
4,0,5000,2,1,1,1,2,3,1,4,3,1,0,2,2,1,0,1,1,2,0,2,0,2,1,3,0,2,1,4576,28364,20,1,2,2,2,0,0,0,0,0,0,0
2,0,12000,3,2,1,1,2,3,1,5,3,1,1,2,2,2,0,0,0,2,0,2,0,2,0,2,0,1,2,4378,31378,83,1,2,2,1,0,0,0,0,3,0,0
8,0,8000,2,2,1,1,2,1,2,1,3,1,0,2,2,2,0,0,0,1,1,2,0,2,1,3,0,1,0,2262,62786,32,2,1,2,2,3,1,0,0,3,0,0
2,0,15000,4,2,1,1,2,4,1,5,3,1,0,2,2,1,1,2,1,1,1,2,0,1,0,1,0,1,0,0,41771,57,2,1,2,1,3,2,3,2,3,3,2
2,0,10000,2,1,1,1,2,3,1,5,3,1,0,2,2,2,0,0,0,2,0,2,0,2,0,2,0,1,1,4236,44236,54,2,1,2,2,0,0,0,0,2,0,0
8,0,6000,3,2,1,1,2,6,2,1,3,1,1,2,2,2,0,0,0,2,0,1,1,3,0,3,0,1,0,0,67358,22,2,1,2,2,3,1,2,1,3,0,0
8,0,8000,3,2,1,1,2,9,2,5,3,1,1,2,2,2,0,1,0,2,0,2,0,4,2,6,0,1,1,19646,34813,39,1,2,2,2,3,1,0,0,3,0,0
2,0,12000,2,1,1,1,2,8,1,3,3,1,0,2,2,1,0,2,1,2,0,2,0,1,0,1,0,1,1,6963,23463,77,2,1,2,2,0,0,0,0,3,0,0
8,0,9000,4,3,1,1,2,6,2,3,3,1,0,2,2,1,0,2,1,2,0,2,0,3,0,3,0,2,0,0,75242,24,2,1,2,2,3,1,1,1,3,0,0
